#separator:tab
#html:true
#columns:普通话	粤语和英语
是吗？这样可能对改善人际关系会很有用的哦！	系(hei⁶)咩(mé¹)？咁(gem²)可(ho²)能(neng⁴)对(dêu³)改(goi²)善(xin⁶)人(yen⁴)际(zei³)关(guan¹)系(hei⁶)会(wui⁵)好(hou²)有(yeo⁵)用(yung⁶)㖞(wo³)！<br>Really? In that case, it could be quite useful for improving interpersonal relationships!
我也打算买一本的，但是因为是畅销书，经常都没有货！	我(ngo⁵)都(dou¹)谂(nem²)住(jü⁶)买(mai⁵)返(fan¹)本(bun²)嘎(ga³)，但(dan⁶)系(hei⁶)因(yen¹)为(wei⁶)系(hei⁶)畅(cêng³)销(xiu¹)书(xü¹)，成(sêng⁴)日(yed)都(dou¹)冇(mou⁵)货(fo³)！<br>I&#x27;m thinking of getting a copy too, but because it&#x27;s a bestseller, it&#x27;s often out of stock!
那不如上网买吧，肯定有货，还可能会打折呢！	咁(gem²)不(bed¹)如(yü⁴)上(sêng⁵)网(mong⁵)买(mai⁵)啦(la¹)，肯(heng²)定(ding⁶)有(yeo⁵)货(fo³)，仲(zung⁶)可(ho²)能(neng⁴)有(yeo⁵)得(deg¹)打(da²)折(jid³)添(tim¹)！<br>Why don&#x27;t you buy it online? They&#x27;ll definitely have it in stock, and you might even get a discount!
那也是哦，还是结了婚的女人知道勤俭节约！	咁(gem²)又(yeo⁶)系(hei⁶)㖞(wo³)，都(dou¹)系(hei⁶)结(jid³)咗(zo²)婚(fen¹)嘅(ge³)女(nêu³)人(yen²)知(ji¹)悭(han¹)识(xig)俭(gim⁶)！<br>That&#x27;s true. Married women really do know how to save money!
哇，老公你看一下，原来现在娱乐圈真的很乱的！	哇(wa³)，老(lou⁵)公(gung¹)你(néi⁵)睇(tei²)吓(ha⁶)，原(yün⁴)嚟(léi⁴)宜(yi⁴)家(ga¹)娱(yü⁴)乐(log⁶)圈(hün¹)真(zen¹)系(hei⁶)好(hou²)乱(lün⁶)嘎(ga³)！<br>Wow, take a look. The entertainment industry is such a mess these days!
先等会儿吧！我先去洗个澡！	等(deng²)阵(zen⁶)先(xin¹)吓(ha⁶)！我(ngo⁵)去(hêu³)冲(cung¹)个(go³)凉(lêng⁴)先(xin¹)！<br>Give me a minute. I&#x27;m going to take a shower first!
先不要啦，你先听我说完吧！	唔(m⁴)好(hou²)住(jü⁶)啦(la¹)，你(néi⁵)听(téng¹)我(ngo⁵)讲(gong²)埋(mai⁴)先(xin¹)啦(la¹)！<br>Not yet. Just let me finish what I&#x27;m saying first!
又要说什么啊？	又(yeo⁶)咩(mé¹)啊(a³)？<br>What is it this time?
原来现在拍很多连续剧那个当红女演员跟他们老板有染的！	原(yün⁴)嚟(léi⁴)宜(yi⁴)家(ga¹)拍(pag³)好(hou²)多(do¹)剧(kég⁶)集(zab⁶)嗰(go²)个(go³)当(dong¹)红(hung⁴)花(fa¹)旦(dan²)同(tung⁴)佢(kêu⁵)哋(déi⁶)老(lou⁵)板(ban²)有(yeo⁵)路(lou⁶)嘎(ga³)！<br>It turns out that the popular actress in all those TV dramas is having an affair with her boss!
有什么大惊小怪的？香港娱乐圈一向都是这样的！也不算是新闻了！	有(yeo⁵)咩(mé¹)出(cêd¹)奇(kéi⁴)啫(zé²)？香(hêng¹)港(gong²)娱(yü⁴)乐(log⁶)圈(hün¹)不(bed¹)嬲(neo¹)都(dou¹)系(hei⁶)咁(gem²)嘅(ge³)啦(la¹)！都(dou¹)唔(m⁴)算(xün³)新(sen¹)闻(men²)啦(la¹)！<br>What&#x27;s so surprising about that? The Hong Kong entertainment industry has always been like this. It&#x27;s hardly news!
问题在于他们老板有老婆的！这件事情现在搞得沸沸扬扬的，等着家庭破裂吧！	问(men⁶)题(tei⁴)系(hei⁶)佢(kêu⁵)哋(déi⁶)老(lou⁵)板(ban²)有(yeo⁵)老(lou⁵)婆(po⁴)嘎(ga³)㖞(wo³)！件(gin⁶)事(xi⁶)宜(yi⁴)家(ga¹)搞(gao²)到(dou³)咁(gem³)扬(yêng⁴)，等(ting²)家(ga¹)庭(ting⁴)破(po³)裂(lid⁶)啦(la¹)！<br>The problem is that their boss is married! The whole thing has become such a scandal that his family could fall apart!
去！你又怎么知道人家老婆不会睁一只眼闭一只眼呢？	切(cé¹)！你(néi⁵)又(yeo⁶)点(dim²)知(ji¹)人(yen⁴)哋(déi⁶)老(lou⁵)婆(po⁴)唔(m⁴)会(wui⁵)只(zé³)眼(ngan⁵)开(hoi¹)只(zé³)眼(ngan⁵)闭(bei³)咧(lé¹)？<br>Oh, come on! How do you know his wife won&#x27;t simply turn a blind eye to it?
各位同学，要提高中考的作文水平，	各(gog³)位(wei²)同(tung⁴)学(hog⁶)，要(yiu³)提(tei⁴)高(gou¹)中(zung¹)考(hao²)嘅(ge³)作(zog³)文(men²)水(sêu²)平(ping⁴)，<br>Everyone, if you want to improve your writing for the secondary school entrance exam,
大家需要在平时多积累点写作素材啊！	大(dai⁶)家(ga¹)需(sêu¹)要(yiu³)喺(hei²)平(ping⁴)时(xi⁴)多(do¹)啲(dit¹)积(jig¹)累(lêu⁵)写(sé²)作(zog³)素(sou³)材(coi⁴)啊(a³)！<br>you need to build up a bank of ideas and examples through your everyday reading!
老师，我不是很清楚，我们平时有什么方法可以积累呢？	老(lou⁵)师(xi¹)，我(ngo⁵)唔(m⁴)系(hei⁶)好(hou²)清(qing¹)楚(co²)，我(ngo⁵)哋(déi⁶)平(ping⁴)时(xi⁴)有(yeo⁵)咩(mé¹)方(fong¹)法(fad³)可(ho²)以(yi⁵)积(jig¹)累(lêu⁵)咧(lé¹)？<br>I&#x27;m not quite sure, teacher. What can we do in our daily lives to build up material for writing?
其实对你们中学生来说，最有用又最简单的方法就是看文摘了！	其(kéi⁴)实(sed⁶)对(dêu³)你(néi⁵)哋(déi⁶)中(zung¹)学(hog⁶)生(sang¹)嚟(léi⁴)讲(gong²)，最(zêu³)有(yeo⁵)用(yung⁶)又(yeo⁶)最(zêu³)简(gan²)单(dan¹)嘅(ge³)方(fong¹)法(fad³)就(zeo⁶)系(hei⁶)睇(tei²)文(men⁴)摘(zag⁶)啦(la¹)！<br>For secondary school students, the simplest and most useful approach is to read digest magazines!
哦，例如什么文摘啊？	哦(o¹)，例(lei⁶)如(yü⁴)咩(mé¹)文(men⁴)摘(zag⁶)咁(gem²)咧(lé¹)？<br>Oh, such as which ones?
《读者文摘》或者《青年文摘》都可以哦！	《读(dug⁶)者(zé²)文(men⁴)摘(zag⁶)》或(wag⁶)者(zé²)《青(qing¹)年(nin⁴)文(men⁴)摘(zag⁶)》都(dou¹)可(ho²)以(yi⁵)嘎(ga³)！<br>Reader&#x27;s Digest or Youth Digest would both be fine!
老师，我简体汉字水平很差，一样可以看吗？	老(lou⁵)师(xi¹)，我(ngo⁵)简(gan²)体(tei²)汉(hon³)字(ji⁶)水(sêu²)平(ping⁴)好(hou²)差(ca¹)，一(yed¹)样(yêng⁶)可(ho²)以(yi⁵)睇(tei²)？<br>My simplified Chinese is quite poor, teacher. Can I still read them?
正因为你还没适应简体汉字，所以更加需要多看点书作为练习！	就(zeo⁶)系(hei⁶)因(yen¹)为(wei⁶)你(néi⁵)未(méi⁶)适(xig¹)应(ying³)简(gan²)体(tei²)汉(hon³)字(ji⁶)，所(so²)以(yi⁵)更(geng³)加(ga¹)需(sêu¹)要(yiu³)多(do¹)啲(di¹)睇(tei²)书(xü¹)作(zog³)为(wei⁴)练(lin⁶)习(zab⁶)！<br>It&#x27;s precisely because you haven&#x27;t got used to simplified Chinese yet that you need to read more books for practice!
弟弟，今天有什么新闻啊？	细(sei³)佬(lou²)，今(gem¹)日(yed⁶)有(yeo⁵)咩(mé¹)新(sen¹)闻(men²)咁(gem²)啊(a³)？<br>So, what&#x27;s in the news today, little brother?
这里有一篇东西很好笑，要我读给你听吗？	呢(néi¹)度(dou⁶)有(yeo⁵)篇(pin¹)嘢(yé⁵)好(hou²)搞(gao²)笑(xiu³)，使(sei²)唔(m⁴)使(sei²)我(ngo⁵)读(dug⁶)俾(béi²)你(néi⁵)听(téng¹)？<br>There&#x27;s a really funny piece here. Shall I read it to you?
念吧，看一下有什么事情那么离奇的？	读(dug⁶)啦(la¹)，睇(tei²)吓(ha⁶)有(yeo⁵)咩(mé¹)咁(gem³)出(cêd¹)奇(kéi⁴)？<br>Go on, then. Let&#x27;s see what&#x27;s so unusual about it.
政府表示，将通过改造河涌，实现城市绿色工程。	政(jing³)府(fu²)表(biu²)示(xi⁶)，将(zêng¹)通(tung¹)过(guo³)改(goi²)造(zou⁶)河(ho⁴)涌(cung¹)，实(sed⁶)现(yin⁶)城(xing⁴)市(xi⁶)绿(lug⁶)色(xig¹)工(gung¹)程(qing⁴)。<br>The government said it would redevelop the waterways as part of an urban greening project.
但河道周边的居民不理会工程告示，	但(dan⁶)河(ho⁴)道(dou⁶)周(zeo¹)边(bin¹)的(dig¹)居(gêu¹)民(men⁴)不(bed¹)理(léi⁵)会(wui⁶)工(gung¹)程(qing⁴)告(gou³)示(xi⁶)，<br>However, residents living near the waterways ignored the construction notices
仍然在施工期间向河涌泼出污水，	仍(ying⁴)然(yin⁴)在(zoi⁶)施(xi¹)工(gung¹)期(kéi⁴)间(gan¹)向(hêng³)河(ho⁴)涌(cung¹)泼(pud³)出(cêd¹)污(wu¹)水(sêu²)，<br>and continued to pour wastewater into them while the work was under way,
导致清淤工人连连大喊“中招”，直呼无奈。	导(dou⁶)致(ji³)清(qing¹)淤(yü¹)工(gung¹)人(yen⁴)连(lin⁴)连(lin⁴)大(dai⁶)喊(ham³)“中(zung³)招(jiu¹)”，直(jig⁶)呼(fu¹)无(mou⁴)奈(noi⁶)。<br>leaving the workers clearing the silt repeatedly complaining that they had been caught in the mess and had no idea what to do.
有什么笑点啊？我觉得现在的人真的挺没有公德的！	有(yeo⁵)咩(mé¹)笑(xiu³)点(dim²)啊(a³)？我(ngo⁵)觉(gog³)得(deg¹)宜(yi⁴)家(ga¹)啲(di¹)人(yen⁴)真(zen¹)系(hei⁶)几(géi²)冇(mou⁵)公(gung¹)德(deg¹)心(sem¹)咯(lo¹)！<br>What&#x27;s funny about that? I think people these days really lack civic awareness!
我也觉得！看来他们也是平时有事没事就往河涌里倒东西！	我(ngo⁵)都(dou¹)觉(gog³)！睇(tei²)怕(pa³)佢(kêu⁵)哋(déi⁶)都(dou¹)系(hei⁶)平(ping⁴)时(xi⁴)得(deg¹)闲(han⁴)冇(mou⁵)事(xi⁶)就(zeo⁶)泼(pud³)嘢(yé⁵)落(log⁶)条(tiu⁴)河(ho⁴)涌(cung¹)啦(la¹)！<br>I agree. It looks as though they&#x27;ve been dumping things into the waterway whenever they feel like it!
不就是嘛！然后到了夏天，河涌蒸发那些臭气上来，	咪(mei⁶)系(hei⁶)咯(lo¹)！跟(gen¹)住(jü⁶)到(dou³)咗(zo²)夏(ha⁶)天(tin¹)，条(tiu⁴)河(ho⁴)涌(cung¹)蒸(jing¹)啲(di¹)臭(ceo³)气(héi³)上(sêng⁵)嚟(léi⁴)，<br>Exactly! Then, when summer comes, the waterway starts giving off a terrible smell,
他们又向政府投诉说要整治河涌，你说是不是在浪费纳税人的钱？	佢(kêu⁵)哋(déi⁶)又(yeo⁶)向(hêng³)政(jing³)府(fu²)投(teo⁴)诉(sou³)话(wa⁶)要(yiu³)整(jing²)治(ji⁶)河(ho⁴)涌(cung¹)，你(néi⁵)话(wa⁶)系(hei⁶)咪(mei⁶)嘥(sai³)纳(nab⁶)税(sêu³)人(yen⁴)啲(di¹)钱(qin²)吖(a¹)？<br>and they complain to the government and demand that it be cleaned up. Isn&#x27;t that just a waste of taxpayers&#x27; money?
简直就是自作自受嘛，没事找事！	简(gan²)直(jig⁶)就(zeo⁶)系(hei⁶)自(ji⁶)作(zog³)自(ji⁶)受(seo⁶)啦(la¹)，冇(mou⁵)事(xi⁶)搵(wen²)事(xi⁶)！<br>They&#x27;ve brought it on themselves. They&#x27;re just creating problems for no reason!
就是辛苦了那些清淤工人了！	就(zeo⁶)系(hei⁶)辛(sen¹)苦(fu²)晒(sai³)啲(di¹)清(qing¹)淤(yü¹)工(gung¹)人(yen⁴)啫(zé²)！<br>It&#x27;s the workers clearing the silt who really have it tough!
你平时下班后会做些什么呢？	你(néi⁵)平(ping⁴)时(xi⁴)收(seo¹)工(gung¹)有(yeo⁵)咩(mé¹)搞(gao²)啊(a³)？<br>What do you usually get up to after work?
看看书，听听歌之类的！	睇(tei²)吓(ha⁶)书(xü¹)，听(téng¹)吓(ha⁶)歌(go¹)咁(gem²)咯(lo¹)！<br>I usually read a bit or listen to some music, that sort of thing.
你平时比较常听什么类型的音乐？	你(néi⁵)平(ping⁴)时(xi⁴)听(téng¹)咩(mé¹)多(do¹)啊(a³)？<br>What kind of music do you listen to most?
什么时候一起去看表演啊？	几(géi²)时(xi⁴)一(yed¹)齐(cei⁴)去(hêu³)睇(tei²)表(biu²)演(yin²)吖(a³)？<br>When shall we go and see a live performance together?
你们有没有提前买票？	你(néi⁵)哋(déi⁶)有(yeo⁵)冇(mou⁵)提(tei⁴)前(qin⁴)买(mai⁵)飞(féi¹)啊(a³)？<br>Did you book the tickets in advance?
带来的视觉感受特别不一样！	带(dai³)嚟(léi⁴)嘅(ge³)视(xi⁶)觉(gog³)感(gem²)受(seo⁶)零(ling⁴)舍(sé³)唔(m⁴)同(tung⁴)！<br>The visual experience is on a completely different level!
现在也只能这样了！	宜(yi⁴)家(ga¹)唯(wei⁴)有(yeo⁵)系(hei⁶)咁(gem²)啦(la¹)！<br>I suppose that is our only option now!
3D本身就是最大的噱头了！	3(sam¹)D(di¹)本(bun²)身(sen¹)就(zeo⁶)系(hei⁶)最(zêu³)大(dai⁶)嘅(ge³)噱(cêg³)头(teo⁴)啦(la¹)！<br>The 3D element itself is the biggest selling point!
你唱来唱去不还是那首歌！	你(néi⁵)唱(cêng³)嚟(léi⁴)唱(cêng³)去(hêu³)咪(mei⁶)又(yeo⁶)系(hei⁶)嗰(go²)只(zég³)歌(go¹)！<br>You keep singing the same song over and over again!
我也是要提前两天才能买到票。	我(ngo⁵)都(dou¹)系(hei⁶)要(yiu³)提(tei⁴)前(qin⁴)两(lêng⁵)日(yed⁶)先(xin¹)至(ji³)买(mai⁵)到(dou²)飞(féi¹)咋(za³)。<br>I had to book two days in advance just to get a ticket.
杨老师，你平时下班后会做些什么呢？	喂(wei³)，杨(yêng⁴)老(lou⁵)师(xi¹)，你(néi⁵)平(ping⁴)时(xi⁴)收(seo¹)工(gung¹)有(yeo⁵)咩(mé¹)搞(gao²)啊(a³)？<br>Ms Yeung, what do you usually get up to after work?
没什么特别的！看看书，听听歌之类的！	冇(mou⁵)乜(med¹)特(deg⁶)别(bid⁶)啊(a³)！睇(tei²)吓(ha⁶)书(xü¹)，听(téng¹)吓(ha⁶)歌(go¹)咁(gem²)咯(lo¹)！<br>Nothing special, really. I read a bit and listen to music, that sort of thing.
听歌？我也喜欢！你平时比较常听什么类型的音乐？	听(téng¹)歌(go¹)？我(ngo⁵)都(dou¹)啱(ngam¹)啊(a³)！你(néi⁵)平(ping⁴)时(xi⁴)听(téng¹)咩(mé¹)多(do¹)啊(a³)？<br>Music? I am into that too. What kind do you usually listen to?
什么都听！粤语、中文、英文的都听，有时还听日文歌！	咩(mé¹)都(dou¹)听(téng¹)嘎(ga³)！粤(yüd⁶)语(yü⁵)、中(zung¹)文(men²)、英(ying¹)文(men²)都(dou¹)听(téng¹)，有(yeo⁵)时(xi⁴)仲(zung⁶)听(téng¹)日(yed⁶)文(men²)添(tim¹)嘎(ga³)！<br>I listen to all sorts: Cantonese, Mandarin and English, and sometimes even Japanese songs.
我最喜欢听摇滚和说唱，电子音乐也不错！	哇(wa³)！我(ngo⁵)就(zeo⁶)最(zêu³)中(zung¹)意(yi³)听(téng¹)摇(yiu⁴)滚(guen²)同(tung⁴)rap(rap)啦(la³)，电(din⁶)音(yem¹)都(dou¹)啱(ngam¹)嘎(ga³)！<br>I am really into rock and rap, and electronic music works for me too!
你还挺新潮的！广州也有一些摇滚歌手，不过比较小众！	你(néi⁵)都(dou¹)好(hou²)潮(qiu⁴)啫(zé²)！广(guong²)州(zeo¹)都(dou¹)有(yeo⁵)啲(di¹)摇(yiu⁴)滚(guen²)歌(go¹)手(seo²)嘎(ga³)，不(bed¹)过(guo³)好(hou²)小(xiu²)众(zung³)咁(gem²)啫(zé²)！<br>You are quite trendy! Guangzhou has a few rock singers too, although they are fairly niche.
地下乐队嘛！我也知道！什么时候一起去看表演？	地(déi⁶)下(ha⁶)乐(ngog⁶)队(dêu²)吖(a¹)嘛(ma³)！我(ngo⁵)都(dou¹)知(ji¹)啦(la¹)！几(géi²)时(xi⁴)一(yed¹)齐(cei⁴)去(hêu³)睇(tei²)表(biu²)演(yin²)吖(a³)？<br>You mean the underground bands? I know about them. When shall we go and see a show together?
喂，小豪吗？我下午和高个子阿全去香港找你！	喂(wei²)？豪(hou⁴)仔(zei²)啊(a⁴)？我(ngo⁵)下(ha⁶)昼(zeo³)同(tung⁴)高(gou¹)佬(lou²)全(qün⁴)过(guo³)香(hêng¹)港(gong²)啊(a³)，嚟(léi⁴)搵(wen²)你(néi⁵)啊(a¹)！<br>Hello, Ho? Ah Chuen and I are coming to Hong Kong this afternoon to see you!
你怎么不早点说？我也是昨天才回来，早知道就一起回来了！	你(néi⁵)唔(m⁴)早(zou²)讲(gong²)？我(ngo⁵)都(dou¹)系(hei⁶)琴(kem⁴)日(yed⁶)先(xin¹)返(fan¹)咋(za¹)嘛(ma³)，早(zou²)知(ji¹)一(yed¹)齐(cei⁴)返(fan¹)吖(a¹)嘛(ma³)！<br>Why did you not tell me earlier? I only came back yesterday. We could have travelled back together!
那你下午可千万不要约你的朋友！	咁(gem²)你(néi⁵)下(ha⁶)昼(zeo³)一(yed¹)于(yü¹)唔(m⁴)好(hou²)约(yêg³)你(néi⁵)啲(di¹)friend(friend)喇(la³)喎(wo³)！<br>In that case, do not make any plans with your friends this afternoon!
但是我已经约了朋友们下午一起看IMAX！	但(dan⁶)我(ngo⁵)经(ging¹)已(yi⁵)约(yêg³)咗(zo²)我(ngo⁵)班(ban¹)friend(friend)下(ha⁶)昼(zeo³)一(yed¹)齐(cei⁴)睇(tei²)IMAX(IMAX)喎(wo³)！<br>But I have already arranged to see an IMAX film with my friends this afternoon!
那正好，我和高个子阿全过来也是想看《阿凡达》！	咁(gem²)就(zeo⁶)啱(ngam¹)啦(la¹)，我(ngo⁵)同(tung⁴)高(gou¹)佬(lou²)全(qün⁴)过(guo³)嚟(léi⁴)都(dou¹)系(hei⁶)想(sêng²)睇(tei²)《阿(a³)凡(fan⁴)达(dad⁶)》嘎(ga³)！<br>Perfect! Ah Chuen and I are coming over because we want to see Avatar as well!
是吗？不过你们有没有提前买票？	系(hei⁶)咩(mé¹)？不(bed¹)过(guo³)你(néi⁵)哋(déi⁶)有(yeo⁵)冇(mou⁵)提(tei⁴)前(qin⁴)买(mai⁵)飞(féi¹)啊(a³)？<br>Really? But have you booked your tickets in advance?
啊？难道不是在现场马上买吗？	吓(ha²)？乜(med¹)唔(m⁴)系(hei⁶)现(yin⁶)场(cêng⁴)即(jig¹)刻(hag¹)买(mai⁵)嘎(ga³)咩(mé¹)？<br>What? Can we not just buy them at the cinema?
当然不是！现在这部电影这么火，我也是提前两天才买到票！	梗(geng²)系(hei⁶)唔(m⁴)系(hei⁶)啦(la¹)！宜(yi⁴)家(ga¹)套(tou³)戏(hei³)咁(gem³)红(hung⁴)！我(ngo⁵)都(dou¹)系(hei⁶)要(yiu³)提(tei⁴)前(qin⁴)两(lêng⁵)日(yed⁶)先(xin¹)至(ji³)买(mai⁵)到(dou²)飞(féi¹)咋(za³)！<br>Of course not! The film is so popular that I had to book two days ahead just to get a ticket!
那怎么办？	咁(gem²)点(dim²)算(xün³)啊(a³)？<br>So what are we going to do?
要不我先叫朋友买好票，你们下个星期再过来看吧！	一(yed¹)唔(m⁴)系(hei⁶)我(ngo⁵)叫(giu³)我(ngo⁵)friend(friend)买(mai⁵)好(hou²)飞(féi¹)先(xin¹)，你(néi⁵)哋(déi⁶)下(ha⁶)个(go³)星(xing¹)期(kéi⁴)再(zoi³)过(guo³)嚟(léi⁴)睇(tei²)啦(la¹)！<br>How about I ask my friend to book the tickets first, and you can come over next week?
现在也只能这样了！也不知道内地什么时候上映！	宜(yi⁴)家(ga¹)唯(wei⁴)有(yeo⁵)系(hei⁶)咁(gem²)啦(la¹)！都(dou¹)唔(m⁴)知(ji¹)内(noi⁶)地(déi⁶)几(géi²)时(xi⁴)上(sêng⁵)画(wa²)！<br>I suppose that is our only option. Who knows when it will be released on the mainland?
为什么现在的3D动画片可以拍得这么逼真？	哇(wa³)，老(lou⁵)公(gung¹)，点(dim²)解(gai²)宜(yi⁴)家(ga¹)啲(di¹)3(sam¹)D(di¹)动(dung⁶)画(wa²)片(pin²)可(ho²)以(yi⁵)拍(pag³)得(deg¹)咁(gem³)逼(big¹)真(zen¹)嘅(ge²)？<br>How do animated 3D films look so incredibly realistic these days?
是啊，不然怎么卖票？3D本身就是最大的噱头！	系(hei⁶)啊(a³)，如(yü⁴)果(guo²)唔(m⁴)系(hei⁶)点(dim²)卖(mai⁵)飞(féi¹)啊(a³)？3(sam¹)D(di¹)本(bun²)身(sen¹)就(zeo⁶)系(hei⁶)最(zêu³)大(dai⁶)嘅(ge³)噱(cêg³)头(teo⁴)啦(la¹)！<br>Exactly. Otherwise, how would they sell tickets? The 3D is the main attraction!
但是这样成本不就会高很多吗？	但(dan⁶)系(hei⁶)咁(gem²)成(xing⁴)本(bun²)咪(mei⁶)会(wui⁵)高(gou¹)好(hou²)多(do¹)咯(lo¹)！<br>But would that not make the production costs much higher?
是啊，后期处理会复杂很多，但带来的视觉感受特别不一样！	系(hei⁶)啊(a³)，后(heo⁶)期(kéi⁴)嘅(ge³)处(qü²)理(léi⁵)都(dou¹)会(wui⁵)复(fug¹)杂(zab⁶)好(hou²)多(do¹)！但(dan⁶)系(hei⁶)带(dai³)嚟(léi⁴)嘅(ge³)视(xi⁶)觉(gog³)感(gem²)受(seo⁶)零(ling⁴)舍(sé³)唔(m⁴)同(tung⁴)！<br>Yes, the post-production is far more complicated, but the visual experience is completely different!
而且我觉得这部电影剧情很好，对白生动，配音也很好！	而(yi²)且(cé²)我(ngo⁵)觉(gog³)得(deg¹)，呢(néi¹)部(bou⁶)戏(hei³)剧(kég⁶)情(qing⁴)都(dou¹)好(hou²)好(hou²)啊(a³)，对(dêu³)白(bag⁶)又(yeo⁶)生(seng¹)动(dung⁶)，啲(di¹)配(pui³)音(yem¹)又(yeo⁶)好(hou²)！<br>I also think the story is excellent, the dialogue is lively, and the voice acting is really good.
是啊！现在很多动画片的成本甚至高于真人电影！	系(hei⁶)咧(lé¹)！宜(yi⁴)家(ga¹)好(hou²)多(do¹)动(dung⁶)画(wa²)片(pin²)嘅(ge³)成(xing⁴)本(bun²)仲(zung⁶)高(gou¹)过(guo³)真(zen¹)人(yen⁴)电(din⁶)影(ying²)啊(a³)！<br>That is right. A lot of animated films now cost even more than live-action ones!
不如我们等会儿也去看《冰河世纪4》？	老(lou⁵)公(gung¹)，不(bed¹)如(yü⁴)我(ngo⁵)哋(déi⁶)等(deng²)阵(zen⁶)去(hêu³)睇(tei²)埋(mai⁴)《冰(bing¹)河(ho⁴)世(sei³)纪(géi²)4(sei³)》咯(lo¹)？<br>Why do we not go and see Ice Age 4 later as well?
