#separator:tab
#html:true
#notetype:Basic
#deck:粤语学习
#columns:Front	Back	Tags
上	<b>粤拼：</b>soeng5<br><b>组词：</b><br><ruby>上<rt>soeng5</rt></ruby><ruby>面<rt>min6</rt></ruby> <span style="color:#666">（上面）</span><br><ruby>上<rt>soeng5</rt></ruby><ruby>学<rt>hok6</rt></ruby> <span style="color:#666">（上學）</span>	粤语::文字 粤语::分类::A._常见字：声母差异明显（普通话_j/q/x_等）
想	<b>粤拼：</b>soeng2<br><b>组词：</b><br><ruby>想<rt>soeng2</rt></ruby><ruby>法<rt>faat3</rt></ruby> <span style="color:#666">（想法）</span><br><ruby>我<rt>ngo5</rt></ruby><ruby>想<rt>soeng2</rt></ruby><ruby>去<rt>heoi3</rt></ruby> <span style="color:#666">（我想去）</span>	粤语::文字 粤语::分类::A._常见字：声母差异明显（普通话_j/q/x_等）
相	<b>粤拼：</b>soeng1<br><b>组词：</b><br><ruby>相<rt>soeng1</rt></ruby><ruby>信<rt>seon3</rt></ruby> <span style="color:#666">（相信）</span><br><ruby>互<rt>wu6</rt></ruby><ruby>相<rt>soeng1</rt></ruby> <span style="color:#666">（互相）</span>	粤语::文字 粤语::分类::A._常见字：声母差异明显（普通话_j/q/x_等）
笑	<b>粤拼：</b>siu3<br><b>组词：</b><br><ruby>笑<rt>siu3</rt></ruby><ruby>声<rt>seng1</rt></ruby> <span style="color:#666">（笑聲）</span><br><ruby>讲<rt>gong2</rt></ruby><ruby>笑<rt>siu3</rt></ruby> <span style="color:#666">（開玩笑）</span>	粤语::文字 粤语::分类::A._常见字：声母差异明显（普通话_j/q/x_等）
小	<b>粤拼：</b>siu2<br><b>组词：</b><br><ruby>小<rt>siu2</rt></ruby><ruby>心<rt>sam1</rt></ruby> <span style="color:#666">（小心）</span><br><ruby>小<rt>siu2</rt></ruby><ruby>时<rt>si4</rt></ruby> <span style="color:#666">（小時）</span>	粤语::文字 粤语::分类::A._常见字：声母差异明显（普通话_j/q/x_等）
先	<b>粤拼：</b>sin1<br><b>组词：</b><br><ruby>先<rt>sin1</rt></ruby><ruby>生<rt>saang1</rt></ruby> <span style="color:#666">（先生）</span><br><ruby>你<rt>nei5</rt></ruby><ruby>行<rt>haang4</rt></ruby><ruby>先<rt>sin1</rt></ruby> <span style="color:#666">（你先走）</span>	粤语::文字 粤语::分类::A._常见字：声母差异明显（普通话_j/q/x_等）
新	<b>粤拼：</b>san1<br><b>组词：</b><br><ruby>新<rt>san1</rt></ruby><ruby>闻<rt>man4</rt></ruby> <span style="color:#666">（新聞）</span><br><ruby>新<rt>san1</rt></ruby><ruby>年<rt>nin4</rt></ruby> <span style="color:#666">（新年）</span>	粤语::文字 粤语::分类::A._常见字：声母差异明显（普通话_j/q/x_等）
心	<b>粤拼：</b>sam1<br><b>组词：</b><br><ruby>开<rt>hoi1</rt></ruby><ruby>心<rt>sam1</rt></ruby> <span style="color:#666">（開心）</span><br><ruby>小<rt>siu2</rt></ruby><ruby>心<rt>sam1</rt></ruby> <span style="color:#666">（小心）</span><br><ruby>真<rt>zan1</rt></ruby><ruby>心<rt>sam1</rt></ruby> <span style="color:#666">（真心）</span><br><ruby>心<rt>sam1</rt></ruby><ruby>痛<rt>tung3</rt></ruby> <span style="color:#666">（心痛）</span>	粤语::文字 粤语::分类::A._常见字：声母差异明显（普通话_j/q/x_等） 粤语::分类::I._粤语歌高频抒情字与书面歌词字
声	<b>粤拼：</b>seng1<br><b>组词：</b><br><ruby>声<rt>seng1</rt></ruby><ruby>音<rt>jam1</rt></ruby> <span style="color:#666">（聲音）</span><br><ruby>出<rt>ceot1</rt></ruby><ruby>声<rt>seng1</rt></ruby> <span style="color:#666">（出聲）</span>	粤语::文字 粤语::分类::A._常见字：声母差异明显（普通话_j/q/x_等）
生	<b>粤拼：</b>sang1<br><b>组词：</b><br><ruby>生<rt>sang1</rt></ruby><ruby>活<rt>wut6</rt></ruby> <span style="color:#666">（生活）</span><br><ruby>学<rt>hok6</rt></ruby><ruby>生<rt>sang1</rt></ruby> <span style="color:#666">（學生）</span>	粤语::文字 粤语::分类::A._常见字：声母差异明显（普通话_j/q/x_等）
知	<b>粤拼：</b>zi1<br><b>组词：</b><br><ruby>知<rt>zi1</rt></ruby><ruby>道<rt>dou6</rt></ruby> <span style="color:#666">（知道）</span><br><ruby>通<rt>tung1</rt></ruby><ruby>知<rt>zi1</rt></ruby> <span style="color:#666">（通知）</span>	粤语::文字 粤语::分类::B._常见字：普通话_zh/ch/sh/r_与粤语差异明显
真	<b>粤拼：</b>zan1<br><b>组词：</b><br><ruby>真<rt>zan1</rt></ruby><ruby>的<rt>dik1</rt></ruby> <span style="color:#666">（真的）</span><br><ruby>认<rt>jing6</rt></ruby><ruby>真<rt>zan1</rt></ruby> <span style="color:#666">（認真）</span>	粤语::文字 粤语::分类::B._常见字：普通话_zh/ch/sh/r_与粤语差异明显
中	<b>粤拼：</b>zung1<br><b>组词：</b><br><ruby>中<rt>zung1</rt></ruby><ruby>国<rt>gwok3</rt></ruby> <span style="color:#666">（中國）</span><br><ruby>中<rt>zung1</rt></ruby><ruby>间<rt>gaan1</rt></ruby> <span style="color:#666">（中間）</span>	粤语::文字 粤语::分类::B._常见字：普通话_zh/ch/sh/r_与粤语差异明显
重	<b>粤拼：</b>zung6 / cung4 / zung6<br><b>组词：</b><br><ruby>重<rt>zung6</rt></ruby><ruby>要<rt>jiu3</rt></ruby> <span style="color:#666">（重要）</span><br><ruby>严<rt>jim4</rt></ruby><ruby>重<rt>zung6</rt></ruby> <span style="color:#666">（嚴重）</span><br><ruby>重<rt>cung4</rt></ruby><ruby>新<rt>san1</rt></ruby> <span style="color:#666">（重新）</span>	粤语::文字 粤语::分类::B._常见字：普通话_zh/ch/sh/r_与粤语差异明显 粤语::分类::G._一字多音：必须按词语判断
住	<b>粤拼：</b>zyu6<br><b>组词：</b><br><ruby>住<rt>zyu6</rt></ruby><ruby>址<rt>zi2</rt></ruby> <span style="color:#666">（住址）</span><br><ruby>记<rt>gei3</rt></ruby><ruby>住<rt>zyu6</rt></ruby> <span style="color:#666">（記住）</span>	粤语::文字 粤语::分类::B._常见字：普通话_zh/ch/sh/r_与粤语差异明显
主	<b>粤拼：</b>zyu2<br><b>组词：</b><br><ruby>主<rt>zyu2</rt></ruby><ruby>要<rt>jiu3</rt></ruby> <span style="color:#666">（主要）</span><br><ruby>主<rt>zyu2</rt></ruby><ruby>人<rt>jan4</rt></ruby> <span style="color:#666">（主人）</span>	粤语::文字 粤语::分类::B._常见字：普通话_zh/ch/sh/r_与粤语差异明显
转	<b>粤拼：</b>zyun2<br><b>组词：</b><br><ruby>转<rt>zyun2</rt></ruby><ruby>弯<rt>waan1</rt></ruby> <span style="color:#666">（轉彎）</span><br><ruby>转<rt>zyun2</rt></ruby><ruby>身<rt>san1</rt></ruby> <span style="color:#666">（轉身）</span>	粤语::文字 粤语::分类::B._常见字：普通话_zh/ch/sh/r_与粤语差异明显
车	<b>粤拼：</b>ce1<br><b>组词：</b><br><ruby>汽<rt>hei3</rt></ruby><ruby>车<rt>ce1</rt></ruby> <span style="color:#666">（汽車）</span><br><ruby>开<rt>hoi1</rt></ruby><ruby>车<rt>ce1</rt></ruby> <span style="color:#666">（開車）</span>	粤语::文字 粤语::分类::B._常见字：普通话_zh/ch/sh/r_与粤语差异明显
出	<b>粤拼：</b>ceot1<br><b>组词：</b><br><ruby>出<rt>ceot1</rt></ruby><ruby>去<rt>heoi3</rt></ruby> <span style="color:#666">（出去）</span><br><ruby>出<rt>ceot1</rt></ruby><ruby>口<rt>hau2</rt></ruby> <span style="color:#666">（出口）</span>	粤语::文字 粤语::分类::B._常见字：普通话_zh/ch/sh/r_与粤语差异明显
春	<b>粤拼：</b>ceon1<br><b>组词：</b><br><ruby>春<rt>ceon1</rt></ruby><ruby>天<rt>tin1</rt></ruby> <span style="color:#666">（春天）</span><br><ruby>新<rt>san1</rt></ruby><ruby>春<rt>ceon1</rt></ruby> <span style="color:#666">（新春）</span>	粤语::文字 粤语::分类::B._常见字：普通话_zh/ch/sh/r_与粤语差异明显
水	<b>粤拼：</b>seoi2<br><b>组词：</b><br><ruby>饮<rt>jam2</rt></ruby><ruby>水<rt>seoi2</rt></ruby> <span style="color:#666">（喝水）</span><br><ruby>水<rt>seoi2</rt></ruby><ruby>果<rt>gwo2</rt></ruby> <span style="color:#666">（水果）</span>	粤语::文字 粤语::分类::B._常见字：普通话_zh/ch/sh/r_与粤语差异明显
书	<b>粤拼：</b>syu1<br><b>组词：</b><br><ruby>看<rt>hon3</rt></ruby><ruby>书<rt>syu1</rt></ruby> <span style="color:#666">（看書）</span><br><ruby>书<rt>syu1</rt></ruby><ruby>店<rt>dim3</rt></ruby> <span style="color:#666">（書店）</span>	粤语::文字 粤语::分类::B._常见字：普通话_zh/ch/sh/r_与粤语差异明显
树	<b>粤拼：</b>syu6<br><b>组词：</b><br><ruby>大<rt>daai6</rt></ruby><ruby>树<rt>syu6</rt></ruby> <span style="color:#666">（大樹）</span><br><ruby>树<rt>syu6</rt></ruby><ruby>叶<rt>jip6</rt></ruby> <span style="color:#666">（樹葉）</span>	粤语::文字 粤语::分类::B._常见字：普通话_zh/ch/sh/r_与粤语差异明显
人	<b>粤拼：</b>jan4<br><b>组词：</b><br><ruby>人<rt>jan4</rt></ruby><ruby>民<rt>man4</rt></ruby> <span style="color:#666">（人民）</span><br><ruby>好<rt>hou2</rt></ruby><ruby>人<rt>jan4</rt></ruby> <span style="color:#666">（好人）</span>	粤语::文字 粤语::分类::B._常见字：普通话_zh/ch/sh/r_与粤语差异明显
日	<b>粤拼：</b>jat6<br><b>组词：</b><br><ruby>今<rt>gam1</rt></ruby><ruby>日<rt>jat6</rt></ruby> <span style="color:#666">（今天）</span><br><ruby>生<rt>saang1</rt></ruby><ruby>日<rt>jat6</rt></ruby> <span style="color:#666">（生日）</span>	粤语::文字 粤语::分类::B._常见字：普通话_zh/ch/sh/r_与粤语差异明显
热	<b>粤拼：</b>jit6<br><b>组词：</b><br><ruby>天<rt>tin1</rt></ruby><ruby>气<rt>hei3</rt></ruby><ruby>热<rt>jit6</rt></ruby> <span style="color:#666">（天氣熱）</span><br><ruby>热<rt>jit6</rt></ruby><ruby>水<rt>seoi2</rt></ruby> <span style="color:#666">（熱水）</span>	粤语::文字 粤语::分类::B._常见字：普通话_zh/ch/sh/r_与粤语差异明显
让	<b>粤拼：</b>joeng6<br><b>组词：</b><br><ruby>让<rt>joeng6</rt></ruby><ruby>开<rt>hoi1</rt></ruby> <span style="color:#666">（讓開）</span><br><ruby>礼<rt>lai5</rt></ruby><ruby>让<rt>joeng6</rt></ruby> <span style="color:#666">（禮讓）</span>	粤语::文字 粤语::分类::B._常见字：普通话_zh/ch/sh/r_与粤语差异明显
来	<b>粤拼：</b>loi4<br><b>组词：</b><br><ruby>将<rt>zoeng1</rt></ruby><ruby>来<rt>loi4</rt></ruby> <span style="color:#666">（將來）</span><br><ruby>回<rt>wui4</rt></ruby><ruby>来<rt>loi4</rt></ruby> <span style="color:#666">（回來）</span><br><ruby>未<rt>mei6</rt></ruby><ruby>来<rt>loi4</rt></ruby> <span style="color:#666">（未來）</span><br><ruby>归<rt>gwai1</rt></ruby><ruby>来<rt>loi4</rt></ruby> <span style="color:#666">（歸來）</span>	粤语::文字 粤语::分类::C._常见字：韵母差异明显（含_-oi、-au、-eoi、-ing_等） 粤语::分类::I._粤语歌高频抒情字与书面歌词字
开	<b>粤拼：</b>hoi1<br><b>组词：</b><br><ruby>开<rt>hoi1</rt></ruby><ruby>心<rt>sam1</rt></ruby> <span style="color:#666">（開心）</span><br><ruby>开<rt>hoi1</rt></ruby><ruby>门<rt>mun4</rt></ruby> <span style="color:#666">（開門）</span>	粤语::文字 粤语::分类::C._常见字：韵母差异明显（含_-oi、-au、-eoi、-ing_等）
台	<b>粤拼：</b>toi4<br><b>组词：</b><br><ruby>平<rt>ping4</rt></ruby><ruby>台<rt>toi4</rt></ruby> <span style="color:#666">（平台）</span><br><ruby>电<rt>din6</rt></ruby><ruby>视<rt>si6</rt></ruby><ruby>台<rt>toi4</rt></ruby> <span style="color:#666">（電視台）</span>	粤语::文字 粤语::分类::C._常见字：韵母差异明显（含_-oi、-au、-eoi、-ing_等）
海	<b>粤拼：</b>hoi2<br><b>组词：</b><br><ruby>大<rt>daai6</rt></ruby><ruby>海<rt>hoi2</rt></ruby> <span style="color:#666">（大海）</span><br><ruby>上<rt>soeng6</rt></ruby><ruby>海<rt>hoi2</rt></ruby> <span style="color:#666">（上海）</span>	粤语::文字 粤语::分类::C._常见字：韵母差异明显（含_-oi、-au、-eoi、-ing_等）
爱	<b>粤拼：</b>oi3<br><b>组词：</b><br><ruby>爱<rt>oi3</rt></ruby><ruby>心<rt>sam1</rt></ruby> <span style="color:#666">（愛心）</span><br><ruby>可<rt>ho2</rt></ruby><ruby>爱<rt>oi3</rt></ruby> <span style="color:#666">（可愛）</span><br><ruby>相<rt>soeng1</rt></ruby><ruby>爱<rt>oi3</rt></ruby> <span style="color:#666">（相愛）</span><br><ruby>爱<rt>oi3</rt></ruby><ruby>你<rt>nei5</rt></ruby> <span style="color:#666">（愛你）</span>	粤语::文字 粤语::分类::C._常见字：韵母差异明显（含_-oi、-au、-eoi、-ing_等） 粤语::分类::I._粤语歌高频抒情字与书面歌词字
外	<b>粤拼：</b>ngoi6<br><b>组词：</b><br><ruby>外<rt>ngoi6</rt></ruby><ruby>面<rt>min6</rt></ruby> <span style="color:#666">（外面）</span><br><ruby>外<rt>ngoi6</rt></ruby><ruby>国<rt>gwok3</rt></ruby> <span style="color:#666">（外國）</span>	粤语::文字 粤语::分类::C._常见字：韵母差异明显（含_-oi、-au、-eoi、-ing_等）
口	<b>粤拼：</b>hau2<br><b>组词：</b><br><ruby>门<rt>mun4</rt></ruby><ruby>口<rt>hau2</rt></ruby> <span style="color:#666">（門口）</span><br><ruby>出<rt>ceot1</rt></ruby><ruby>口<rt>hau2</rt></ruby> <span style="color:#666">（出口）</span>	粤语::文字 粤语::分类::C._常见字：韵母差异明显（含_-oi、-au、-eoi、-ing_等）
后	<b>粤拼：</b>hau6<br><b>组词：</b><br><ruby>后<rt>hau6</rt></ruby><ruby>来<rt>loi4</rt></ruby> <span style="color:#666">（後來）</span><br><ruby>最<rt>zeoi3</rt></ruby><ruby>后<rt>hau6</rt></ruby> <span style="color:#666">（最後）</span>	粤语::文字 粤语::分类::C._常见字：韵母差异明显（含_-oi、-au、-eoi、-ing_等）
手	<b>粤拼：</b>sau2<br><b>组词：</b><br><ruby>手<rt>sau2</rt></ruby><ruby>机<rt>gei1</rt></ruby> <span style="color:#666">（手機）</span><br><ruby>双<rt>soeng1</rt></ruby><ruby>手<rt>sau2</rt></ruby> <span style="color:#666">（雙手）</span>	粤语::文字 粤语::分类::C._常见字：韵母差异明显（含_-oi、-au、-eoi、-ing_等）
有	<b>粤拼：</b>jau5<br><b>组词：</b><br><ruby>有<rt>jau5</rt></ruby><ruby>人<rt>jan4</rt></ruby> <span style="color:#666">（有人）</span><br><ruby>有<rt>jau5</rt></ruby><ruby>冇<rt>mou5</rt></ruby> <span style="color:#666">（有沒有）</span>	粤语::文字 粤语::分类::C._常见字：韵母差异明显（含_-oi、-au、-eoi、-ing_等）
去	<b>粤拼：</b>heoi3<br><b>组词：</b><br><ruby>出<rt>ceot1</rt></ruby><ruby>去<rt>heoi3</rt></ruby> <span style="color:#666">（出去）</span><br><ruby>去<rt>heoi3</rt></ruby><ruby>边<rt>bin1</rt></ruby><ruby>度<rt>dou6</rt></ruby> <span style="color:#666">（去哪裡）</span>	粤语::文字 粤语::分类::C._常见字：韵母差异明显（含_-oi、-au、-eoi、-ing_等）
女	<b>粤拼：</b>neoi5<br><b>组词：</b><br><ruby>女<rt>neoi5</rt></ruby><ruby>人<rt>jan4</rt></ruby> <span style="color:#666">（女人）</span><br><ruby>女<rt>neoi5</rt></ruby><ruby>儿<rt>ji4</rt></ruby> <span style="color:#666">（女兒）</span>	粤语::文字 粤语::分类::C._常见字：韵母差异明显（含_-oi、-au、-eoi、-ing_等）
雷	<b>粤拼：</b>leoi4<br><b>组词：</b><br><ruby>雷<rt>leoi4</rt></ruby><ruby>雨<rt>jyu5</rt></ruby> <span style="color:#666">（雷雨）</span><br><ruby>打<rt>daa2</rt></ruby><ruby>雷<rt>leoi4</rt></ruby> <span style="color:#666">（打雷）</span>	粤语::文字 粤语::分类::C._常见字：韵母差异明显（含_-oi、-au、-eoi、-ing_等）
旅	<b>粤拼：</b>leoi5<br><b>组词：</b><br><ruby>旅<rt>leoi5</rt></ruby><ruby>游<rt>jau4</rt></ruby> <span style="color:#666">（旅遊）</span><br><ruby>旅<rt>leoi5</rt></ruby><ruby>客<rt>haak3</rt></ruby> <span style="color:#666">（旅客）</span>	粤语::文字 粤语::分类::C._常见字：韵母差异明显（含_-oi、-au、-eoi、-ing_等）
明	<b>粤拼：</b>ming4<br><b>组词：</b><br><ruby>明<rt>ming4</rt></ruby><ruby>天<rt>tin1</rt></ruby> <span style="color:#666">（明天）</span><br><ruby>明<rt>ming4</rt></ruby><ruby>白<rt>baak6</rt></ruby> <span style="color:#666">（明白）</span>	粤语::文字 粤语::分类::C._常见字：韵母差异明显（含_-oi、-au、-eoi、-ing_等）
永	<b>粤拼：</b>wing5<br><b>组词：</b><br><ruby>永<rt>wing5</rt></ruby><ruby>远<rt>jyun5</rt></ruby> <span style="color:#666">（永遠）</span><br><ruby>永<rt>wing5</rt></ruby><ruby>久<rt>gau2</rt></ruby> <span style="color:#666">（永久）</span><br><ruby>永<rt>wing5</rt></ruby><ruby>康<rt>hong1</rt></ruby> <span style="color:#666">（永康）</span>	粤语::文字 粤语::分类::C._常见字：韵母差异明显（含_-oi、-au、-eoi、-ing_等） 粤语::分类::F._常见姓氏、人名与书面字易误读
平	<b>粤拼：</b>ping4<br><b>组词：</b><br><ruby>平<rt>ping4</rt></ruby><ruby>时<rt>si4</rt></ruby> <span style="color:#666">（平時）</span><br><ruby>和<rt>wo4</rt></ruby><ruby>平<rt>ping4</rt></ruby> <span style="color:#666">（和平）</span>	粤语::文字 粤语::分类::C._常见字：韵母差异明显（含_-oi、-au、-eoi、-ing_等）
成	<b>粤拼：</b>sing4<br><b>组词：</b><br><ruby>成<rt>sing4</rt></ruby><ruby>功<rt>gung1</rt></ruby> <span style="color:#666">（成功）</span><br><ruby>完<rt>jyun4</rt></ruby><ruby>成<rt>sing4</rt></ruby> <span style="color:#666">（完成）</span>	粤语::文字 粤语::分类::C._常见字：韵母差异明显（含_-oi、-au、-eoi、-ing_等）
听	<b>粤拼：</b>ting1<br><b>组词：</b><br><ruby>听<rt>ting1</rt></ruby><ruby>见<rt>gin3</rt></ruby> <span style="color:#666">（聽見）</span><br><ruby>听<rt>ting1</rt></ruby><ruby>话<rt>waa6</rt></ruby> <span style="color:#666">（聽話）</span>	粤语::文字 粤语::分类::C._常见字：韵母差异明显（含_-oi、-au、-eoi、-ing_等）
定	<b>粤拼：</b>ding6<br><b>组词：</b><br><ruby>决<rt>kyut3</rt></ruby><ruby>定<rt>ding6</rt></ruby> <span style="color:#666">（決定）</span><br><ruby>一<rt>jat1</rt></ruby><ruby>定<rt>ding6</rt></ruby> <span style="color:#666">（一定）</span>	粤语::文字 粤语::分类::C._常见字：韵母差异明显（含_-oi、-au、-eoi、-ing_等）
我	<b>粤拼：</b>ngo5<br><b>组词：</b><br><ruby>我<rt>ngo5</rt></ruby><ruby>们<rt>mun4</rt></ruby> <span style="color:#666">（我們）</span><br><ruby>我<rt>ngo5</rt></ruby><ruby>的<rt>dik1</rt></ruby> <span style="color:#666">（我的）</span>	粤语::文字 粤语::分类::D._鼻音、零声母及_ng-_开头易误读字
你	<b>粤拼：</b>nei5<br><b>组词：</b><br><ruby>你<rt>nei5</rt></ruby><ruby>好<rt>hou2</rt></ruby> <span style="color:#666">（你好）</span><br><ruby>你<rt>nei5</rt></ruby><ruby>哋<rt>dei6</rt></ruby> <span style="color:#666">（你們）</span>	粤语::文字 粤语::分类::D._鼻音、零声母及_ng-_开头易误读字
牙	<b>粤拼：</b>ngaa4<br><b>组词：</b><br><ruby>牙<rt>ngaa4</rt></ruby><ruby>齿<rt>ci2</rt></ruby> <span style="color:#666">（牙齒）</span><br><ruby>牙<rt>ngaa4</rt></ruby><ruby>医<rt>ji1</rt></ruby> <span style="color:#666">（牙醫）</span>	粤语::文字 粤语::分类::D._鼻音、零声母及_ng-_开头易误读字
眼	<b>粤拼：</b>ngaan5<br><b>组词：</b><br><ruby>眼<rt>ngaan5</rt></ruby><ruby>睛<rt>zing1</rt></ruby> <span style="color:#666">（眼睛）</span><br><ruby>眼<rt>ngaan5</rt></ruby><ruby>镜<rt>geng3</rt></ruby> <span style="color:#666">（眼鏡）</span>	粤语::文字 粤语::分类::D._鼻音、零声母及_ng-_开头易误读字
牛	<b>粤拼：</b>ngau4<br><b>组词：</b><br><ruby>牛<rt>ngau4</rt></ruby><ruby>奶<rt>naai5</rt></ruby> <span style="color:#666">（牛奶）</span><br><ruby>牛<rt>ngau4</rt></ruby><ruby>肉<rt>juk6</rt></ruby> <span style="color:#666">（牛肉）</span>	粤语::文字 粤语::分类::D._鼻音、零声母及_ng-_开头易误读字
硬	<b>粤拼：</b>ngaang6<br><b>组词：</b><br><ruby>很<rt>han2</rt></ruby><ruby>硬<rt>ngaang6</rt></ruby> <span style="color:#666">（很硬）</span><br><ruby>硬<rt>ngaang6</rt></ruby><ruby>件<rt>gin6</rt></ruby> <span style="color:#666">（硬件）</span>	粤语::文字 粤语::分类::D._鼻音、零声母及_ng-_开头易误读字
五	<b>粤拼：</b>ng5<br><b>组词：</b><br><ruby>五<rt>ng5</rt></ruby><ruby>月<rt>jyut6</rt></ruby> <span style="color:#666">（五月）</span><br><ruby>五<rt>ng5</rt></ruby><ruby>个<rt>go3</rt></ruby> <span style="color:#666">（五個）</span>	粤语::文字 粤语::分类::D._鼻音、零声母及_ng-_开头易误读字
午	<b>粤拼：</b>ng5<br><b>组词：</b><br><ruby>下<rt>haa6</rt></ruby><ruby>午<rt>ng5</rt></ruby> <span style="color:#666">（下午）</span><br><ruby>午<rt>ng5</rt></ruby><ruby>饭<rt>faan6</rt></ruby> <span style="color:#666">（午飯）</span>	粤语::文字 粤语::分类::D._鼻音、零声母及_ng-_开头易误读字
安	<b>粤拼：</b>on1<br><b>组词：</b><br><ruby>安<rt>on1</rt></ruby><ruby>全<rt>cyun4</rt></ruby> <span style="color:#666">（安全）</span><br><ruby>安<rt>on1</rt></ruby><ruby>心<rt>sam1</rt></ruby> <span style="color:#666">（安心）</span>	粤语::文字 粤语::分类::D._鼻音、零声母及_ng-_开头易误读字
欧	<b>粤拼：</b>au1<br><b>组词：</b><br><ruby>欧<rt>au1</rt></ruby><ruby>洲<rt>zau1</rt></ruby> <span style="color:#666">（歐洲）</span><br><ruby>欧<rt>au1</rt></ruby><ruby>元<rt>jyun4</rt></ruby> <span style="color:#666">（歐元）</span>	粤语::文字 粤语::分类::D._鼻音、零声母及_ng-_开头易误读字
